x,y
0.0,0.0045
0.003541666666666667,0.0045
0.007083333333333334,0.0045
0.010625,0.0045
0.014166666666666668,0.0045
0.017708333333333333,0.0045
0.02125,0.0045
0.02479166666666667,0.0045
0.028333333333333335,0.0045
0.031875,0.0045
0.035416666666666666,0.0045
0.03895833333333334,0.0045
0.0425,0.0045
0.04604166666666667,0.0045
0.04958333333333334,0.0045
0.053125000000000006,0.0045
0.05666666666666667,0.0045
0.060208333333333336,0.0045
0.06375,0.0045
0.06729166666666667,0.0045
0.07083333333333333,0.0045
0.07437500000000001,0.0045
0.07791666666666668,0.0045
0.08145833333333334,0.0045
0.085,0.0045
0.0,0.0025
0.085,0.00225
0.12,0.06
0.12354166666666666,0.06
0.12708333333333333,0.06
0.130625,0.06
0.13416666666666666,0.06
0.13770833333333332,0.06
0.14125,0.06
0.14479166666666665,0.06
0.14833333333333332,0.06
0.12,0.07
0.12354166666666666,0.07
0.12708333333333333,0.07
0.130625,0.07
0.13416666666666666,0.07
0.13770833333333332,0.07
0.14125,0.07
0.14479166666666665,0.07
0.14833333333333332,0.07
0.12,0.06
0.12,0.06354166666666666
0.12,0.06708333333333333
0.15,0.06
0.15,0.06354166666666666
0.15,0.06708333333333333
